date,strategy,n_holdings,expected_return,realized_return
2025-01-02,conservative,10,0.002513319021090865,-0.0020090515702237332
2025-01-02,aggressive,6,0.0060707563534379005,0.004391070572867134
2025-01-02,equal_weight,29,,0.01057939748495614
2025-01-06,conservative,10,0.0031827467028051615,-0.0002654403188860101
2025-01-06,aggressive,7,0.006496155634522438,-0.010721131471609547
2025-01-06,equal_weight,29,,-0.006840604852690144
2025-01-13,conservative,10,0.0027135659474879503,0.008357342682309747
2025-01-13,aggressive,5,0.006277368403971195,0.02101461348285788
2025-01-13,equal_weight,29,,0.012364699408887493
2025-01-20,conservative,10,0.0025347196497023106,0.0058301949899658
2025-01-20,aggressive,7,0.006086861714720726,-0.015182875003425276
2025-01-20,equal_weight,29,,0.003146695415540376
2025-01-31,conservative,10,0.0026275073178112507,0.0058537560285704645
2025-01-31,aggressive,3,0.0058110980316996574,-0.014255740833870746
2025-01-31,equal_weight,29,,0.00044708522135414124
2025-02-03,conservative,10,0.0024061796721071005,0.01088186945032904
2025-02-03,aggressive,4,0.005344417877495289,-0.0028833692360186753
2025-02-03,equal_weight,29,,0.014326059962395846
2025-02-10,conservative,10,0.0025175015907734632,0.006097790486468092
2025-02-10,aggressive,3,0.005521161016076803,0.012230120063220992
2025-02-10,equal_weight,29,,0.01051896447963074
2025-02-17,conservative,10,0.0027646503876894712,-0.0019279213250868203
2025-02-17,aggressive,5,0.00538659980520606,-0.010491868157840763
2025-02-17,equal_weight,29,,-0.004117731952152007
2025-02-24,conservative,10,0.0025843260809779167,0.0015908604971071698
2025-02-24,aggressive,2,0.005389069207012653,-0.0088449327045632
2025-02-24,equal_weight,29,,-0.015424658459690281
2025-03-04,conservative,10,0.0019795510452240705,-0.004621939719341365
2025-03-04,aggressive,1,0.005338761489838362,0.0196100603785809
2025-03-04,equal_weight,29,,-0.01129011872104082
2025-03-10,conservative,10,0.0019676454830914736,-0.0036906920654613384
2025-03-10,aggressive,1,0.0052114794962108135,-0.0036018768680256
2025-03-10,equal_weight,29,,-0.0007837390323870988
2025-03-17,conservative,10,0.0020577788818627596,0.017819932270857847
2025-03-17,aggressive,1,0.005178683437407017,0.0731911402020863
2025-03-17,equal_weight,29,,0.012683271222041676
2025-03-24,conservative,10,0.00200482620857656,-0.015569042746760457
2025-03-24,aggressive,1,0.005193098448216915,-0.0115434907477571
2025-03-24,equal_weight,29,,-0.019894582076590252
2025-03-31,conservative,10,0.0024600697215646505,-0.061196628395770385
2025-03-31,aggressive,3,0.005251646041870117,-0.13702465465661884
2025-03-31,equal_weight,29,,-0.06724764156818112
2025-04-07,conservative,10,0.0022515058517456055,0.039935577684724326
2025-04-07,aggressive,1,0.005486012902110815,0.0263131364445572
